,nombreestablecimiento,direccion,direccion-completa,direccion-corregida,coordenada
0,INST DE BTO TEC COMERCIAL PITAGORAS                                                                 ,KR 5 11 67,"KR 5 11 67,Bogota,Colombia","CARRERA 5 11 67,Bogota,Colombia","(4.5977768, -74.07332459999999)"
1,GIMNASIO INFANTIL FEDERICO FROEBEL,CL 32 SUR 52 A 54,"CL 32 SUR 52 A 54,Bogota,Colombia","CALLE 32 SUR 52 A 54,Bogota,Colombia","(4.6050717, -74.12871609999999)"
2,GIMNASIO INFANTIL LOS NIÑOS DEL MAÑANA,CL 134 D 47 27,"CL 134 D 47 27,Bogota,Colombia","CALLE 134 D 47 27,Bogota,Colombia","(4.7210207, -74.05454519999999)"
3,COLEGIO FRANCISCO PRIMERO S.S. (IED),KR 28 63 64,"KR 28 63 64,Bogota,Colombia","CARRERA 28 63 64,Bogota,Colombia","(4.6521273, -74.0756332)"
4,COL SAN JUAN VIANETH                                                                                ,KR 2 C 3 18 SUR,"KR 2 C 3 18 SUR,Bogota,Colombia","CARRERA 2 C 3 18 SUR,Bogota,Colombia","(4.6161775, -74.06377429999999)"
5,COL SAN PATRICIO                                                                                    ,KR 80 137 02,"KR 80 137 02,Bogota,Colombia","CARRERA 80 137 02,Bogota,Colombia","(4.7307369, -74.081751)"
6,COL CRISTIANO FUENTE DE VIDA                                                                        ,CL 89 A BIS B 113 45,"CL 89 A BIS B 113 45,Bogota,Colombia","CALLE 89 A BIS B 113 45,Bogota,Colombia","(4.7054816, -74.1028465)"
7,LIC PARROQ SAN JOSE                                                                                 ,TV 13 H 45 F 33 SUR,"TV 13 H 45 F 33 SUR,Bogota,Colombia","TV 13 H 45 F 33 SUR,Bogota,Colombia","(4.710988599999999, -74.072092)"
8,LIC ESTRELLITA ESTUDIANTIL                                                                          ,KR 64 64 64,"KR 64 64 64,Bogota,Colombia","CARRERA 64 64 64,Bogota,Colombia","(4.5901264, -74.153987)"
9,COL LUIGI PIRANDELLO,KR 113 74 B 06,"KR 113 74 B 06,Bogota,Colombia","CARRERA 113 74 B 06,Bogota,Colombia","(4.7162608, -74.12612159999999)"
10,JARDIN INFANTIL CAMPESTRE MI BELLA IMAGEN                                                           ,KR 17 164 39,"KR 17 164 39,Bogota,Colombia","CARRERA 17 164 39,Bogota,Colombia","(4.744299199999999, -74.0404887)"
11,COLEGIO MARCO FIDEL SUAREZ (IED),DG 52 SUR 25 00,"DG 52 SUR 25 00,Bogota,Colombia","DIAGONAL 52 SUR 25 00,Bogota,Colombia","(4.5797924, -74.1336645)"
12,INST ORESTES SINDICI                                                                                ,CL 63 A SUR 70 G 84,"CL 63 A SUR 70 G 84,Bogota,Colombia","CALLE 63 A SUR 70 G 84,Bogota,Colombia","(4.5879552, -74.1650478)"
13,COL DEL BOSQUE                                                                                      ,KR 65 170 25,"KR 65 170 25,Bogota,Colombia","CARRERA 65 170 25,Bogota,Colombia","(4.7572988, -74.0602315)"
14,INST SANTA INES                                                                                     ,KR 46 A 71 85,"KR 46 A 71 85,Bogota,Colombia","CARRERA 46 A 71 85,Bogota,Colombia","(4.571565, -74.16143269999999)"
15,CENTRO DE EDUCACION LABORAL,AC 72 77 A 73,"AC 72 77 A 73,Bogota,Colombia","AC 72 77 A 73,Bogota,Colombia","(4.710988599999999, -74.072092)"
16,LIC ADOLFO LEON GOMEZ                                                                               ,KR 3 ESTE 101 A 08 SUR,"KR 3 ESTE 101 A 08 SUR,Bogota,Colombia","CARRERA 3 ESTE 101 A 08 SUR,Bogota,Colombia","(4.4956852, -74.1140285)"
17,COL CENTRO CULTURAL                                                                                 ,CL 72 SUR 2 A 32,"CL 72 SUR 2 A 32,Bogota,Colombia","CALLE 72 SUR 2 A 32,Bogota,Colombia","(4.6078126, -74.19676890000001)"
18,LIC PEDAGOGICO  LOS SAUCES                                                                          ,CLL. 134 NO.105A-04,"CLL. 134 NO.105A-04,Bogota,Colombia","CLL. 134 NO.105A-04,Bogota,Colombia","(4.7136531, -74.03526889999999)"
19,LIC SANTA PAULA,CR. 92A NO.76-42/32,"CR. 92A NO.76-42/32,Bogota,Colombia","CR. 92A NO.76-42/32,Bogota,Colombia","(4.7044175, -74.1074773)"
20,COL DEL SAGRADO CORAZON DE JESUS BETHLEMITAS                                                        ,KR 7 65 42,"KR 7 65 42,Bogota,Colombia","CARRERA 7 65 42,Bogota,Colombia","(4.6495377, -74.0589845)"
21,COL ADOLFO LEON GOMEZ,CR. 78A NO. 64D-74 SUR,"CR. 78A NO. 64D-74 SUR,Bogota,Colombia","CR. 78A NO. 64D-74 SUR,Bogota,Colombia","(4.6419887, -74.14028259999999)"
22,GIMNASIO NUESTRA SEÑORA DE LA ESPERANZA,DG 45 B SUR 8 30 ESTE,"DG 45 B SUR 8 30 ESTE,Bogota,Colombia","DIAGONAL 45 B SUR 8 30 ESTE,Bogota,Colombia","(4.5436805, -74.09043249999999)"
23,COL INTEGRADO SANTO TORIBIO DE MOGROVEJO                                                            ,CL 49 A SUR 5 A 37,"CL 49 A SUR 5 A 37,Bogota,Colombia","CALLE 49 A SUR 5 A 37,Bogota,Colombia","(4.5472527, -74.11210609999999)"
24,GIMN WILLIAM MACKINLEY                                                                              ,DG 22 B 48 53,"DG 22 B 48 53,Bogota,Colombia","DIAGONAL 22 B 48 53,Bogota,Colombia","(4.570826500000001, -74.09058470000001)"
25,LICEO BET-EL,KR 90 135 B 68,"KR 90 135 B 68,Bogota,Colombia","CARRERA 90 135 B 68,Bogota,Colombia","(4.7345532, -74.0843601)"
26,COLEGIO INTEGRADO EDUARDO CABALLERO CALDERON,CL 132 D BIS 132 08,"CL 132 D BIS 132 08,Bogota,Colombia","CALLE 132 D BIS 132 08,Bogota,Colombia","(4.7436248, -74.11352380000001)"
27,COLEGIO GUSTAVO MORALES MORALES (IED),CL 129 55 55,"CL 129 55 55,Bogota,Colombia","CALLE 129 55 55,Bogota,Colombia","(4.716605899999999, -74.0642749)"
28,LIC PSICOPEDAG UCRANIA                                                                              ,CR. 3B NO.48R-87 SUR,"CR. 3B NO.48R-87 SUR,Bogota,Colombia","CR. 3B NO.48R-87 SUR,Bogota,Colombia","(4.509962199999999, -74.119911)"
29,LIC PSICOPEDAG MORATO                                                                               ,DG 103 54 65,"DG 103 54 65,Bogota,Colombia","DIAGONAL 103 54 65,Bogota,Colombia","(4.710988599999999, -74.072092)"
